experiment	item	condition	context	text	question	qType	PersonSubject	PersonObject	NumberSubject	NumberObject	SingulaAbovePlural	ThirdAboveParticipant	SecondAboveFirst	type	design	
algo1	40	1	"(pointing at you, then at herself)"	You is me.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	2	1	Singular	Singular				control	Random	
algo1	41	1	(pointing at you)	You am you.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	2	2	Singular	Singular				control	Random	
algo1	42	1	"(pointing at you, then at your friend John)"	You am him.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	2	3	Singular	Singular				control	Random	
algo1	43	1	"(pointing at your friend Joel, then at herself)"	He are me.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	3	1	Singular	Singular				control	Random	
algo1	44	1	"(pointing at your friend Jasper, then at you)"	He am you.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	3	2	Singular	Singular				control	Random	
algo1	45	1	"(pointing at your friend Pete, then at your friend Sally)"	He are her.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	3	3	Singular	Singular				control	Random	
algo1	46	1	"(pointing at herself, then at herself and you)"	I are us.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	1	1	Singular	Plural				control	Random	
algo1	47	1	"(pointing at herself, then at you and your friend Ruby)"	I is you.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	1	2	Singular	Plural				control	Random	
algo1	48	1	"(pointing at herself, then at your friends Bill and Ryan)"	I is them.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	1	3	Singular	Plural				control	Random	
algo1	49	1	"(pointing at you, then at herself and your friend Jake)"	You am us.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	2	1	Singular	Plural				control	Random	
algo1	50	1	"(pointing at you, then at you and your friend Sarah)"	You is you.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	2	2	Singular	Plural				control	Random	
algo1	51	1	"(pointing at you, then at your friends Jill and Brian)"	You am them.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	2	3	Singular	Plural				control	Random	
algo1	52	1	"(pointing at your friend Joel, then at herself and you)"	He am us.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	3	1	Singular	Plural				control	Random	
algo1	53	1	"(pointing at your friend Jasper, then at you and your friend Mary)"	He am you.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	3	2	Singular	Plural				control	Random	
algo1	54	1	"(pointing at your friend Pete, then at your friends Sally and Erin)"	He am them.	"How acceptable of a sentence of English do you think this is?\n(Between1=completely unacceptable, and 6=completely acceptable)"	jm	3	3	Singular	Plural				control	Random	
